id;TARGA;GENERE MERCEOLOGICO;ANNO_ISTITUZIONE;INDIRIZZO;CIVICO;MUNICIPIO;ID_NIL;NIL;LONG_X_4326;LAT_Y_4326;Location
89;Ferramenta Mereghetti;Ferramenta;1930;P.zza Mentana;7;1;1;DUOMO;9.181318500000032;45.46221300000008;(45.46221300000008, 9.181318500000032)
90;Finart di Elena Ferrofino;Produzione e vendita fiori di seta;1957;C.so Matteotti;8;1;1;DUOMO;9.194548500000053;45.46685700000006;(45.46685700000006, 9.194548500000053)
91;Fiorista Colombo Della Volta;Fiori e piante;1928;P.zza Tricolore;2;1;4;GUASTALLA;9.206284500000038;45.46755900000005;(45.46755900000005, 9.206284500000038)
92;Forniture orologerie San Maurilio srl;Ricambi per orologeria;1932;Via San Maurilio;8;1;1;DUOMO;9.18466200000006;45.46186200000005;(45.46186200000005, 9.18466200000006)
93;Forobonaparte srl affiliato Buffetti;Forniture per ufficio, cartoleria;1852;Foro Buonaparte;53;1;1;DUOMO;9.178312500000061;45.46801800000003;(45.46801800000003, 9.178312500000061)
94;Foto Veneta Ottica di Bisello;Fotografo, ottico;1931;Via Torino;57;1;1;DUOMO;9.183388500000035;45.46066500000006;(45.46066500000006, 9.183388500000035)
95;Fotomateriale Image Specialists;Commercio di materiale per ottica e fotografia;1960;Viale E. Caldara;20;1;4;GUASTALLA;9.203373000000056;45.454473000000064;(45.454473000000064, 9.203373000000056)
96;Fratelli Bernasconi;Produzione timbri e targhe;1890;C.so Porta Ticinese;18;1;1;DUOMO;9.180945000000065;45.45862200000005;(45.45862200000005, 9.180945000000065)
97;Fratelli Freni;Pasticceria, gelateria;1914;Via Passarella;4;1;1;DUOMO;9.194508000000042;45.46481400000005;(45.46481400000005, 9.194508000000042)
98;Fratelli Freni;Pasticceria, gelateria;1914;Via Mazzini;2;1;1;DUOMO;9.188383500000043;45.46340100000003;(45.46340100000003, 9.188383500000043)
99;Fratelli Prada;Pelletteria, abbigliamento;1913;Gall. Vittorio Emanuele II;63/65;1;1;DUOMO;9.190007877000028;45.465624467000055;(45.465624467000055, 9.190007877000028)
100;Frigerio Gomme;Vendita pneumatici e accessori;1923;P.zza V Giornate;6;1;4;GUASTALLA;9.207149422000043;45.46226288400004;(45.46226288400004, 9.207149422000043)
101;Frutteto Viel di Viel Giulio e C.;Frullati e gelati;1955;Via Paolo da Cannobio;9;1;1;DUOMO;9.190606500000058;45.461475000000064;(45.461475000000064, 9.190606500000058)
102;Fusaglia Chiavi Serrature e Casseforti;Serrature ferramenta;1910;Via Zebedia;2;1;1;DUOMO;9.187474500000064;45.46080900000004;(45.46080900000004, 9.187474500000064)
103;G. Lorenzi;Coltelleria;1929;Via Montenapoleone;9;1;1;DUOMO;9.195097500000031;45.46824300000003;(45.46824300000003, 9.195097500000031)
