id_area;municipio;area;localita;obj_id;codice;descrizione_codice;data_ini;LONG_X_4326;LAT_Y_4326;Location
3_215;3;215;parco della Lambretta;236373;P214272;Tavolo da pic nic;2018/10/20;9.2511253189;45.4804697008;(45.4804697008, 9.2511253189)
3_227;3;227;via Valvassori Peroni;236799;P214272;Tavolo da pic nic;2018/10/19;9.2372830334;45.4799000569;(45.4799000569, 9.2372830334)
3_227;3;227;via Valvassori Peroni;236800;P214272;Tavolo da pic nic;2018/10/19;9.2375688279;45.4799497174;(45.4799497174, 9.2375688279)
9_460;9;460;giardino Catella;237037;P214272;Tavolo da pic nic;2017/04/01;9.1935232581;45.4853483552;(45.4853483552, 9.1935232581)
9_460;9;460;giardino Catella;237038;P214272;Tavolo da pic nic;2017/04/01;9.1933927641;45.4852742337;(45.4852742337, 9.1933927641)
9_460;9;460;giardino Catella;237039;P214272;Tavolo da pic nic;2017/04/01;9.1933420246;45.4852866326;(45.4852866326, 9.1933420246)
9_460;9;460;giardino Catella;237040;P214272;Tavolo da pic nic;2017/04/01;9.1932964573;45.485260515;(45.485260515, 9.1932964573)
9_460;9;460;giardino Catella;237041;P214272;Tavolo da pic nic;2017/04/01;9.1933023131;45.4852194654;(45.4852194654, 9.1933023131)
9_460;9;460;giardino Catella;237042;P214272;Tavolo da pic nic;2017/04/01;9.1934643267;45.4853518169;(45.4853518169, 9.1934643267)
9_460;9;460;giardino Catella;237043;P214272;Tavolo da pic nic;2017/04/01;9.1934983353;45.4853711371;(45.4853711371, 9.1934983353)
8_207;8;207;via Triboniano;238565;P214272;Tavolo da pic nic;2019/04/11;9.127197529;45.5071790009;(45.5071790009, 9.127197529)
8_207;8;207;via Triboniano;238566;P214272;Tavolo da pic nic;2019/04/11;9.1272787262;45.5071557377;(45.5071557377, 9.1272787262)
8_207;8;207;via Triboniano;238567;P214272;Tavolo da pic nic;2019/04/11;9.1273641461;45.5071576567;(45.5071576567, 9.1273641461)
8_207;8;207;via Triboniano;238568;P214272;Tavolo da pic nic;2019/04/11;9.1275166655;45.5071423089;(45.5071423089, 9.1275166655)
6_158;6;158;giardino Artemisia Gentileschi;238970;P214272;Tavolo da pic nic;2019/03/29;9.1282894816;45.4598259567;(45.4598259567, 9.1282894816)
7_112;7;112;parco di Baggio;238972;P214272;Tavolo da pic nic;2019/05/23;9.0891730839;45.4640718636;(45.4640718636, 9.0891730839)
7_112;7;112;parco di Baggio;238973;P214272;Tavolo da pic nic;2019/05/23;9.0892087407;45.4640114977;(45.4640114977, 9.0892087407)
6_175;6;175;parco Giussani Don Luigi;239006;P214272;Tavolo da pic nic;2019/05/31;9.1658710048;45.4589790714;(45.4589790714, 9.1658710048)
3_157;3;157;via Pini n. 2;239115;P214272;Tavolo da pic nic;2018/04/17;9.24148497;45.4844193637;(45.4844193637, 9.24148497)
3_157;3;157;via Pini n. 2;239116;P214272;Tavolo da pic nic;2018/04/17;9.2414648921;45.4844112135;(45.4844112135, 9.2414648921)
9_302;9;302;via Val Cismon n. 9;239157;P214272;Tavolo da pic nic;2019/07/19;9.1942666959;45.5057743296;(45.5057743296, 9.1942666959)
1_092;1;92;giardino Roberto Bazlen;239239;P214272;Tavolo da pic nic;2019/08/13;9.1968195509;45.4544620747;(45.4544620747, 9.1968195509)
4_229;4;229;via Oglio n. 18;239245;P214272;Tavolo da pic nic;2019/08/22;9.2171647076;45.4409071644;(45.4409071644, 9.2171647076)
4_229;4;229;via Oglio n. 18;239246;P214272;Tavolo da pic nic;2019/08/22;9.2170678419;45.4408200721;(45.4408200721, 9.2170678419)
3_036;3;36;vie Golgi - Secondo B.U.;239471;P214272;Tavolo da pic nic;2019/09/02;9.2347168454;45.476946526;(45.476946526, 9.2347168454)
3_036;3;36;vie Golgi - Secondo B.U.;239472;P214272;Tavolo da pic nic;2019/09/02;9.2347162129;45.4769980286;(45.4769980286, 9.2347162129)
9_404;9;404;viale Cà Granda - Testi - Guarini Matteucci;239727;P214272;Tavolo da pic nic;2019/11/12;9.1992577093;45.5061987005;(45.5061987005, 9.1992577093)
7_330;7;330;via Osteno n. 2/a;239739;P214272;Tavolo da pic nic;2019/12/02;9.1134533824;45.4608084016;(45.4608084016, 9.1134533824)
6_036;6;36;vie Rimini - La Spezia - Famagosta;239745;P214272;Tavolo da pic nic;2019/12/04;9.171771857;45.4393517501;(45.4393517501, 9.171771857)
